Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;Fiziksel USB Port;Adet;15.84
Euro Fiyat Listesi;Fiziksel USB Port;Adet;13.44
USD Fiyat Listesi;FortiGate Client to Site VPN Kullanıcı Lisansı;Adet;2.3
TL Fiyat Listesi;FortiGate Client to Site VPN Kullanıcı Lisansı;Adet;102.92
Euro Fiyat Listesi;FortiGate Client to Site VPN Kullanıcı Lisansı;Adet;1.95
USD Fiyat Listesi;FortiGate FG-VM02V UTP 36 Ay;Adet;297.0
TL Fiyat Listesi;FortiGate FG-VM02V UTP 36 Ay;Adet;13290.3
Euro Fiyat Listesi;FortiGate FG-VM02V UTP 36 Ay;Adet;252.05
USD Fiyat Listesi;Sophos XG - Sanal Dedike Appliance - 2 vCPU - Standard Protection Lisans - Yönetim Dahil;Adet;287.61
Euro Fiyat Listesi;Sophos XG - Sanal Dedike Appliance - 2 vCPU - Standard Protection Lisans - Yönetim Dahil;Adet;244.08
TL Fiyat Listesi;Sophos XG - Sanal Dedike Appliance - 2 vCPU - Standard Protection Lisans - Yönetim Dahil;Adet;12870.12
USD Fiyat Listesi;Sophos XG-Sanal Dedike Appliance-2 vCPU-Xstream with WAF and Email Protection Lisans-Yönetim Dahil;Adet;403.69
Euro Fiyat Listesi;Sophos XG-Sanal Dedike Appliance-2 vCPU-Xstream with WAF and Email Protection Lisans-Yönetim Dahil;Adet;342.59
TL Fiyat Listesi;Sophos XG-Sanal Dedike Appliance-2 vCPU-Xstream with WAF and Email Protection Lisans-Yönetim Dahil;Adet;18064.52
USD Fiyat Listesi;Sophos XG (EV) – 2 vCPU - Sanal Dedike Firewall Yönetim Hizmeti;Adet;107.37
TL Fiyat Listesi;Sophos XG (EV) – 2 vCPU - Sanal Dedike Firewall Yönetim Hizmeti;Adet;4804.65
Euro Fiyat Listesi;Sophos XG (EV) – 2 vCPU - Sanal Dedike Firewall Yönetim Hizmeti;Adet;91.12
TL Fiyat Listesi;McAfee SIEM Hizmeti - Log Kaynağı (1-10);Adet;25346.0
USD Fiyat Listesi;McAfee SIEM Hizmeti - Log Kaynağı (1-10);Adet;566.41
Euro Fiyat Listesi;McAfee SIEM Hizmeti - Log Kaynağı (1-10);Adet;480.68
TL Fiyat Listesi;Felaket Kurtarma (DR) Yönetim Hizmeti;Adet;1859.3
Euro Fiyat Listesi;Felaket Kurtarma (DR) Yönetim Hizmeti;Adet;35.26
USD Fiyat Listesi;Felaket Kurtarma (DR) Yönetim Hizmeti;Adet;41.55
USD Fiyat Listesi;Public Cloud - Accelerated_CH192s_v6;Adet;12500.0
TL Fiyat Listesi;Public Cloud - Accelerated_CH192s_v6;Adet;559356.25
Euro Fiyat Listesi;Public Cloud - Accelerated_CH192s_v6;Adet;10607.97
TL Fiyat Listesi;Zerto Enterprise Cloud Edition License;Adet;1543.82
USD Fiyat Listesi;Zerto Enterprise Cloud Edition License;Adet;34.5
Euro Fiyat Listesi;Zerto Enterprise Cloud Edition License;Adet;29.28
USD Fiyat Listesi;Veeam Backup & Replication Enterprise Lisansı;per VM;8.91
Euro Fiyat Listesi;Veeam Backup & Replication Enterprise Lisansı;per VM;7.56
TL Fiyat Listesi;Veeam Backup & Replication Enterprise Lisansı;per VM;398.71
USD Fiyat Listesi;Veeam Backup & Replication Enterprise Plus Lisansı;per VM;10.89
